,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
271,25-1082,25-1082,25-1082.00,25-1082.00,"Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",25-1082,25-1082.00,25-1082.00,"Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",25-1082,25-1082.00,25-1082.00,"Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",25-1082,25-1082.00,25-1082.00,"Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary"
272,25-1111,25-1111,25-1111.00,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,25-1111.00,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,25-1111.00,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,25-1111.00,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary"
273,25-1112,25-1112,25-1112.00,25-1112.00,"Law Teachers, Postsecondary","Law Teachers, Postsecondary",25-1112,25-1112.00,25-1112.00,"Law Teachers, Postsecondary","Law Teachers, Postsecondary",25-1112,25-1112.00,25-1112.00,"Law Teachers, Postsecondary","Law Teachers, Postsecondary",25-1112,25-1112.00,25-1112.00,"Law Teachers, Postsecondary","Law Teachers, Postsecondary"
274,25-1113,25-1113,25-1113.00,25-1113.00,"Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",25-1113,25-1113.00,25-1113.00,"Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",25-1113,25-1113.00,25-1113.00,"Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",25-1113,25-1113.00,25-1113.00,"Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary"
275,25-1121,25-1121,25-1121.00,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary",25-1121,25-1121.00,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary",25-1121,25-1121.00,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary",25-1121,25-1121.00,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary"
276,25-1122,25-1122,25-1122.00,25-1122.00,"Communications Teachers, Postsecondary","Communications Teachers, Postsecondary",25-1122,25-1122.00,25-1122.00,"Communications Teachers, Postsecondary","Communications Teachers, Postsecondary",25-1122,25-1122.00,25-1122.00,"Communications Teachers, Postsecondary","Communications Teachers, Postsecondary",25-1122,25-1122.00,25-1122.00,"Communications Teachers, Postsecondary","Communications Teachers, Postsecondary"
277,25-1123,25-1123,25-1123.00,25-1123.00,"English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary",25-1123,25-1123.00,25-1123.00,"English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary",25-1123,25-1123.00,25-1123.00,"English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary",25-1123,25-1123.00,25-1123.00,"English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary"
278,25-1124,25-1124,25-1124.00,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",25-1124,25-1124.00,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",25-1124,25-1124.00,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",25-1124,25-1124.00,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary"
279,25-1125,25-1125,25-1125.00,25-1125.00,"History Teachers, Postsecondary","History Teachers, Postsecondary",25-1125,25-1125.00,25-1125.00,"History Teachers, Postsecondary","History Teachers, Postsecondary",25-1125,25-1125.00,25-1125.00,"History Teachers, Postsecondary","History Teachers, Postsecondary",25-1125,25-1125.00,25-1125.00,"History Teachers, Postsecondary","History Teachers, Postsecondary"
280,25-1126,25-1126,25-1126.00,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary",25-1126,25-1126.00,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary",25-1126,25-1126.00,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary",25-1126,25-1126.00,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary"
281,25-1191,25-1191,25-1191.00,25-1191.00,Graduate Teaching Assistants,Graduate Teaching Assistants,25-1191,25-1191.00,25-1191.00,Graduate Teaching Assistants,Graduate Teaching Assistants,25-1191,25-1191.00,25-1191.00,Graduate Teaching Assistants,Graduate Teaching Assistants,25-9044,25-1191.00,25-9044.00,Graduate Teaching Assistants,"Teaching Assistants, Postsecondary"
282,25-1192,25-1192,25-1192.00,25-1192.00,"Home Economics Teachers, Postsecondary","Home Economics Teachers, Postsecondary",25-1192,25-1192.00,25-1192.00,"Home Economics Teachers, Postsecondary","Home Economics Teachers, Postsecondary",25-1192,25-1192.00,25-1192.00,"Home Economics Teachers, Postsecondary","Home Economics Teachers, Postsecondary",25-1192,25-1192.00,25-1192.00,"Home Economics Teachers, Postsecondary","Family and Consumer Sciences Teachers, Postsecondary"
283,25-1193,25-1193,25-1193.00,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Recreation and Fitness Studies Teachers, Postsecondary",25-1193,25-1193.00,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Recreation and Fitness Studies Teachers, Postsecondary",25-1193,25-1193.00,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Recreation and Fitness Studies Teachers, Postsecondary",25-1193,25-1193.00,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Recreation and Fitness Studies Teachers, Postsecondary"
284,25-1194,25-1194,25-1194.00,25-1194.00,"Vocational Education Teachers, Postsecondary","Vocational Education Teachers, Postsecondary",25-1194,25-1194.00,25-1194.00,"Vocational Education Teachers, Postsecondary","Vocational Education Teachers, Postsecondary",25-1194,25-1194.00,25-1194.00,"Vocational Education Teachers, Postsecondary","Vocational Education Teachers, Postsecondary",25-1194,25-1194.00,25-1194.00,"Vocational Education Teachers, Postsecondary","Career/Technical Education Teachers, Postsecondary"
285,25-1199,25-1199,25-1199.99,25-1199.99,"Postsecondary Teachers, All Other","Postsecondary Teachers, All Other",25-1199,25-1199.99,25-1199.00,"Postsecondary Teachers, All Other","Postsecondary Teachers, All Other",25-1199,25-1199.00,25-1199.00,"Postsecondary Teachers, All Other","Postsecondary Teachers, All Other",25-1199,25-1199.00,25-1199.00,"Postsecondary Teachers, All Other","Postsecondary Teachers, All Other"
286,25-2011,25-2011,25-2011.00,25-2011.00,"Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education",25-2011,25-2011.00,25-2011.00,"Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education",25-2011,25-2011.00,25-2011.00,"Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education",25-2011,25-2011.00,25-2011.00,"Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education"
287,25-2012,25-2012,25-2012.00,25-2012.00,"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education",25-2012,25-2012.00,25-2012.00,"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education",25-2012,25-2012.00,25-2012.00,"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education",25-2012,25-2012.00,25-2012.00,"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education"
288,25-2021,25-2021,25-2021.00,25-2021.00,"Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education",25-2021,25-2021.00,25-2021.00,"Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education",25-2021,25-2021.00,25-2021.00,"Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education",25-2021,25-2021.00,25-2021.00,"Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education"
289,25-2022,25-2022,25-2022.00,25-2022.00,"Middle School Teachers, Except Special and Vocational Education","Middle School Teachers, Except Special and Vocational Education",25-2022,25-2022.00,25-2022.00,"Middle School Teachers, Except Special and Vocational Education","Middle School Teachers, Except Special and Vocational Education",25-2022,25-2022.00,25-2022.00,"Middle School Teachers, Except Special and Vocational Education","Middle School Teachers, Except Special and Career/Technical Education",25-2022,25-2022.00,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Middle School Teachers, Except Special and Career/Technical Education"
290,25-2023,25-2023,25-2023.00,25-2023.00,"Vocational Education Teachers, Middle School","Vocational Education Teachers, Middle School",25-2023,25-2023.00,25-2023.00,"Vocational Education Teachers, Middle School","Vocational Education Teachers, Middle School",25-2023,25-2023.00,25-2023.00,"Vocational Education Teachers, Middle School","Career/Technical Education Teachers, Middle School",25-2023,25-2023.00,25-2023.00,"Career/Technical Education Teachers, Middle School","Career/Technical Education Teachers, Middle School"
291,25-2031,25-2031,25-2031.00,25-2031.00,"Secondary School Teachers, Except Special and Vocational Education","Secondary School Teachers, Except Special and Vocational Education",25-2031,25-2031.00,25-2031.00,"Secondary School Teachers, Except Special and Vocational Education","Secondary School Teachers, Except Special and Vocational Education",25-2031,25-2031.00,25-2031.00,"Secondary School Teachers, Except Special and Vocational Education","Secondary School Teachers, Except Special and Career/Technical Education",25-2031,25-2031.00,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education","Secondary School Teachers, Except Special and Career/Technical Education"
292,25-2032,25-2032,25-2032.00,25-2032.00,"Vocational Education Teachers, Secondary School","Vocational Education Teachers, Secondary School",25-2032,25-2032.00,25-2032.00,"Vocational Education Teachers, Secondary School","Vocational Education Teachers, Secondary School",25-2032,25-2032.00,25-2032.00,"Vocational Education Teachers, Secondary School","Career/Technical Education Teachers, Secondary School",25-2032,25-2032.00,25-2032.00,"Career/Technical Education Teachers, Secondary School","Career/Technical Education Teachers, Secondary School"
293,25-2041,25-2041,25-2041.00,25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Preschool, Kindergarten, and Elementary School",25-2041,25-2041.00,25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Preschool, Kindergarten, and Elementary School",25-2051,25-2041.00,25-2051.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Preschool",25-2051,25-2051.00,25-2051.00,"Special Education Teachers, Preschool","Special Education Teachers, Preschool"
294,25-2041,25-2041,25-2041.00,25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Preschool, Kindergarten, and Elementary School",25-2041,25-2041.00,25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Preschool, Kindergarten, and Elementary School",25-2052,25-2041.00,25-2052.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Kindergarten and Elementary School",25-2055,25-2052.00,25-2055.00,"Special Education Teachers, Kindergarten and Elementary School","Special Education Teachers, Kindergarten"
295,25-2041,25-2041,25-2041.00,25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Preschool, Kindergarten, and Elementary School",25-2041,25-2041.00,25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Preschool, Kindergarten, and Elementary School",25-2052,25-2041.00,25-2052.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","Special Education Teachers, Kindergarten and Elementary School",25-2056,25-2052.00,25-2056.00,"Special Education Teachers, Kindergarten and Elementary School","Special Education Teachers, Elementary School"
296,25-2042,25-2042,25-2042.00,25-2042.00,"Special Education Teachers, Middle School","Special Education Teachers, Middle School",25-2042,25-2042.00,25-2042.00,"Special Education Teachers, Middle School","Special Education Teachers, Middle School",25-2053,25-2042.00,25-2053.00,"Special Education Teachers, Middle School","Special Education Teachers, Middle School",25-2057,25-2053.00,25-2057.00,"Special Education Teachers, Middle School","Special Education Teachers, Middle School"
297,25-2043,25-2043,25-2043.00,25-2043.00,"Special Education Teachers, Secondary School","Special Education Teachers, Secondary School",25-2043,25-2043.00,25-2043.00,"Special Education Teachers, Secondary School","Special Education Teachers, Secondary School",25-2054,25-2043.00,25-2054.00,"Special Education Teachers, Secondary School","Special Education Teachers, Secondary School",25-2058,25-2054.00,25-2058.00,"Special Education Teachers, Secondary School","Special Education Teachers, Secondary School"
298,25-3011,25-3011,25-3011.00,25-3011.00,"Adult Literacy, Remedial Education, and GED Teachers and Instructors","Adult Literacy, Remedial Education, and GED Teachers and Instructors",25-3011,25-3011.00,25-3011.00,"Adult Literacy, Remedial Education, and GED Teachers and Instructors","Adult Literacy, Remedial Education, and GED Teachers and Instructors",25-3011,25-3011.00,25-3011.00,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",Adult Basic and Secondary Education and Literacy Teachers and Instructors,25-3011,25-3011.00,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
299,25-3021,25-3021,25-3021.00,25-3021.00,Self-Enrichment Education Teachers,Self-Enrichment Education Teachers,25-3021,25-3021.00,25-3021.00,Self-Enrichment Education Teachers,Self-Enrichment Education Teachers,25-3021,25-3021.00,25-3021.00,Self-Enrichment Education Teachers,Self-Enrichment Education Teachers,25-3021,25-3021.00,25-3021.00,Self-Enrichment Education Teachers,Self-Enrichment Teachers
300,25-3099,25-3099,25-3099.99,25-3099.99,"Teachers and Instructors, All Other","Teachers and Instructors, All Other",25-3099,25-3099.99,25-3099.00,"Teachers and Instructors, All Other","Teachers and Instructors, All Other",25-2059,25-3099.01,25-2059.01,Adaptive Physical Education Specialists,Adapted Physical Education Specialists,25-2059,25-2059.00 AND 25-2059.01,25-2059.00 AND 25-2059.01,"Special Education Teachers, All Other AND Adapted Physical Education Specialists","Special Education Teachers, All Other AND Adapted Physical Education Specialists"
301,25-3099,25-3099,25-3099.99,25-3099.99,"Teachers and Instructors, All Other","Teachers and Instructors, All Other",25-3099,25-3099.99,25-3099.00,"Teachers and Instructors, All Other","Teachers and Instructors, All Other",25-3099,25-3099.00 AND 25-3099.02,25-3099.00 AND 25-3099.02,"Teachers and Instructors, All Other AND Tutors","Teachers and Instructors, All Other AND Tutors",25-3031,25-3099.00,25-3031.00,"Teachers and Instructors, All Other","Substitute Teachers, Short-Term"
